"","mtry","AUC","AUCSD","Precision","PrecisionSD","Recall","RecallSD","F","FSD","NUTS1","CM"
"162",27,0.703333333333333,0.050954606092935,0.975,0.0686978002202548,0.948333333333333,0.140748323979179,0.952793650793651,0.0982552059133302,"E","CM2"
"163",52,0.701666666666667,0.0675326409699182,0.957333333333333,0.0936873751528911,0.953333333333333,0.128394940597264,0.946253968253968,0.094568431733868,"E","CM2"
"164",77,0.695,0.085200177786109,0.957333333333333,0.0936873751528911,0.948333333333333,0.131373780849851,0.943396825396825,0.095068205019866,"E","CM2"
"165",102,0.703333333333333,0.050954606092935,0.957333333333333,0.0936873751528911,0.941666666666667,0.137034100395492,0.939396825396825,0.0968292149831072,"E","CM2"
"166",127,0.700541666666667,0.0671786384099646,0.957333333333333,0.0936873751528911,0.946666666666667,0.134434230604696,0.942253968253968,0.0964595519599231,"E","CM2"
"167",152,0.702208333333333,0.0505223740034384,0.957333333333333,0.0936873751528911,0.941666666666667,0.137034100395492,0.939396825396825,0.0968292149831072,"E","CM2"
"168",177,0.688597222222222,0.0789707577671984,0.957333333333333,0.0936873751528911,0.946666666666667,0.134434230604696,0.942253968253968,0.0964595519599231,"E","CM2"
"169",202,0.698597222222222,0.0695444985003697,0.957333333333333,0.0936873751528911,0.946666666666667,0.134434230604696,0.942253968253968,0.0964595519599231,"E","CM2"
"170",227,0.699208333333333,0.0567460334804084,0.957333333333333,0.0936873751528911,0.93,0.144200037425969,0.932539682539683,0.0985527546607734,"E","CM2"
"171",2,0.766019106415844,0.072557553050463,0.989142857142857,0.0439188225452474,0.858666666666667,0.146394304933651,0.911738594738595,0.0948505240815027,"S","CM2"
"172",27,0.744666223039377,0.089386282463212,0.97647619047619,0.0680911943997027,0.888666666666667,0.14358702434444,0.922920412920413,0.0976399966049909,"S","CM2"
"173",52,0.739222547094218,0.107653469036677,0.97647619047619,0.0680911943997027,0.892666666666667,0.138060751030322,0.925698190698191,0.0945467977061953,"S","CM2"
"174",77,0.727505315074365,0.0927680853450484,0.974285714285714,0.0685085015226456,0.892666666666667,0.138060751030322,0.924119325119325,0.0917724731652744,"S","CM2"
"175",102,0.695762993305521,0.117503115097252,0.970285714285714,0.0644182846431246,0.889333333333333,0.141491888984938,0.920058719058719,0.0910464924384595,"S","CM2"
"176",127,0.667695970200412,0.136392491513568,0.970285714285714,0.0644182846431246,0.889333333333333,0.141491888984938,0.920058719058719,0.0910464924384595,"S","CM2"
"177",152,0.66527798756236,0.149813065713044,0.962952380952381,0.0709461519170732,0.889333333333333,0.141491888984938,0.916785991785992,0.0928164982866665,"S","CM2"
"178",177,0.618969164769126,0.158388297224653,0.970285714285714,0.0644182846431246,0.889333333333333,0.141491888984938,0.920058719058719,0.0910464924384595,"S","CM2"
